"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"Ansonia","0900901220","2007-2011","Total","Number","Margins of Error",295
"Ansonia","0900901220","2007-2011","Total","Number","Social Security Status",7550
"Ansonia","0900901220","2007-2011","Without SSI","Number","Margins of Error",310
"Ansonia","0900901220","2007-2011","Without SSI","Number","Social Security Status",5152
"Ansonia","0900901220","2007-2011","Without SSI","Percent","Margins of Error",4.9
"Ansonia","0900901220","2007-2011","Without SSI","Percent","Social Security Status",68.2
"Ansonia","0900901220","2007-2011","With SSI","Number","Margins of Error",218
"Ansonia","0900901220","2007-2011","With SSI","Number","Social Security Status",2398
"Ansonia","0900901220","2007-2011","With SSI","Percent","Margins of Error",3.1
"Ansonia","0900901220","2007-2011","With SSI","Percent","Social Security Status",31.8
"Ansonia","0900901220","2008-2012","Total","Number","Margins of Error",281
"Ansonia","0900901220","2008-2012","Total","Number","Social Security Status",7380
"Ansonia","0900901220","2008-2012","Without SSI","Number","Margins of Error",301
"Ansonia","0900901220","2008-2012","Without SSI","Number","Social Security Status",5112
"Ansonia","0900901220","2008-2012","Without SSI","Percent","Margins of Error",4.9
"Ansonia","0900901220","2008-2012","Without SSI","Percent","Social Security Status",69.3
"Ansonia","0900901220","2008-2012","With SSI","Number","Margins of Error",244
"Ansonia","0900901220","2008-2012","With SSI","Number","Social Security Status",2268
"Ansonia","0900901220","2008-2012","With SSI","Percent","Margins of Error",3.5
"Ansonia","0900901220","2008-2012","With SSI","Percent","Social Security Status",30.7
"Ansonia","0900901220","2009-2013","Total","Number","Margins of Error",364
"Ansonia","0900901220","2009-2013","Total","Number","Social Security Status",7309
"Ansonia","0900901220","2009-2013","Without SSI","Number","Margins of Error",392
"Ansonia","0900901220","2009-2013","Without SSI","Number","Social Security Status",4864
"Ansonia","0900901220","2009-2013","Without SSI","Percent","Margins of Error",6.3
"Ansonia","0900901220","2009-2013","Without SSI","Percent","Social Security Status",66.5
"Ansonia","0900901220","2009-2013","With SSI","Number","Margins of Error",237
"Ansonia","0900901220","2009-2013","With SSI","Number","Social Security Status",2445
"Ansonia","0900901220","2009-2013","With SSI","Percent","Margins of Error",3.6
"Ansonia","0900901220","2009-2013","With SSI","Percent","Social Security Status",33.5
"Ansonia","0900901220","2010-2014","Total","Number","Margins of Error",363
"Ansonia","0900901220","2010-2014","Total","Number","Social Security Status",7240
"Ansonia","0900901220","2010-2014","Without SSI","Number","Margins of Error",362
"Ansonia","0900901220","2010-2014","Without SSI","Number","Social Security Status",4733
"Ansonia","0900901220","2010-2014","Without SSI","Percent","Margins of Error",3.8
"Ansonia","0900901220","2010-2014","Without SSI","Percent","Social Security Status",65.4
"Ansonia","0900901220","2010-2014","With SSI","Number","Margins of Error",298
"Ansonia","0900901220","2010-2014","With SSI","Number","Social Security Status",2507
"Ansonia","0900901220","2010-2014","With SSI","Percent","Margins of Error",3.7
"Ansonia","0900901220","2010-2014","With SSI","Percent","Social Security Status",34.6
"Ansonia","0900901220","2011-2015","Total","Number","Margins of Error",339
