"Town","FIPS","Year","Social Security Status","Measure Type","Variable","Value"
"Canton","0900312270","2012-2016","Without SSI","Percent","Margins of Error",5.5
"Canton","0900312270","2012-2016","Without SSI","Percent","Social Security Status",71.6
"Canton","0900312270","2012-2016","With SSI","Number","Margins of Error",144
"Canton","0900312270","2012-2016","With SSI","Number","Social Security Status",1148
"Canton","0900312270","2012-2016","With SSI","Percent","Margins of Error",3.7
"Canton","0900312270","2012-2016","With SSI","Percent","Social Security Status",28.4
"Chaplin","0901513810","2006-2010","Total","Number","Margins of Error",64
"Chaplin","0901513810","2006-2010","Total","Number","Social Security Status",932
"Chaplin","0901513810","2006-2010","Without SSI","Number","Margins of Error",69
"Chaplin","0901513810","2006-2010","Without SSI","Number","Social Security Status",670
"Chaplin","0901513810","2006-2010","Without SSI","Percent","Margins of Error",8.9
"Chaplin","0901513810","2006-2010","Without SSI","Percent","Social Security Status",71.9
"Chaplin","0901513810","2006-2010","With SSI","Number","Margins of Error",50
"Chaplin","0901513810","2006-2010","With SSI","Number","Social Security Status",262
"Chaplin","0901513810","2006-2010","With SSI","Percent","Margins of Error",5.7
"Chaplin","0901513810","2006-2010","With SSI","Percent","Social Security Status",28.1
"Chaplin","0901513810","2007-2011","Total","Number","Margins of Error",64
"Chaplin","0901513810","2007-2011","Total","Number","Social Security Status",943
"Chaplin","0901513810","2007-2011","Without SSI","Number","Margins of Error",75
"Chaplin","0901513810","2007-2011","Without SSI","Number","Social Security Status",647
"Chaplin","0901513810","2007-2011","Without SSI","Percent","Margins of Error",9.2
"Chaplin","0901513810","2007-2011","Without SSI","Percent","Social Security Status",68.6
"Chaplin","0901513810","2007-2011","With SSI","Number","Margins of Error",53
"Chaplin","0901513810","2007-2011","With SSI","Number","Social Security Status",296
"Chaplin","0901513810","2007-2011","With SSI","Percent","Margins of Error",6
"Chaplin","0901513810","2007-2011","With SSI","Percent","Social Security Status",31.4
"Chaplin","0901513810","2008-2012","Total","Number","Margins of Error",61
"Chaplin","0901513810","2008-2012","Total","Number","Social Security Status",884
"Chaplin","0901513810","2008-2012","Without SSI","Number","Margins of Error",66
"Chaplin","0901513810","2008-2012","Without SSI","Number","Social Security Status",600
"Chaplin","0901513810","2008-2012","Without SSI","Percent","Margins of Error",8.8
"Chaplin","0901513810","2008-2012","Without SSI","Percent","Social Security Status",67.9
"Chaplin","0901513810","2008-2012","With SSI","Number","Margins of Error",56
"Chaplin","0901513810","2008-2012","With SSI","Number","Social Security Status",284
"Chaplin","0901513810","2008-2012","With SSI","Percent","Margins of Error",6.7
"Chaplin","0901513810","2008-2012","With SSI","Percent","Social Security Status",32.1
"Chaplin","0901513810","2009-2013","Total","Number","Margins of Error",59
"Chaplin","0901513810","2009-2013","Total","Number","Social Security Status",893
"Chaplin","0901513810","2009-2013","Without SSI","Number","Margins of Error",69
"Chaplin","0901513810","2009-2013","Without SSI","Number","Social Security Status",643
"Chaplin","0901513810","2009-2013","Without SSI","Percent","Margins of Error",9.1
"Chaplin","0901513810","2009-2013","Without SSI","Percent","Social Security Status",72
"Chaplin","0901513810","2009-2013","With SSI","Number","Margins of Error",55
"Chaplin","0901513810","2009-2013","With SSI","Number","Social Security Status",250
"Chaplin","0901513810","2009-2013","With SSI","Percent","Margins of Error",6.4
"Chaplin","0901513810","2009-2013","With SSI","Percent","Social Security Status",28
"Chaplin","0901513810","2010-2014","Total","Number","Margins of Error",58
"Chaplin","0901513810","2010-2014","Total","Number","Social Security Status",865
"Chaplin","0901513810","2010-2014","Without SSI","Number","Margins of Error",64
"Chaplin","0901513810","2010-2014","Without SSI","Number","Social Security Status",626
"Chaplin","0901513810","2010-2014","Without SSI","Percent","Margins of Error",5.6
"Chaplin","0901513810","2010-2014","Without SSI","Percent","Social Security Status",72.4
"Chaplin","0901513810","2010-2014","With SSI","Number","Margins of Error",54
"Chaplin","0901513810","2010-2014","With SSI","Number","Social Security Status",239
"Chaplin","0901513810","2010-2014","With SSI","Percent","Margins of Error",6
"Chaplin","0901513810","2010-2014","With SSI","Percent","Social Security Status",27.6
"Chaplin","0901513810","2011-2015","Total","Number","Margins of Error",53
"Chaplin","0901513810","2011-2015","Total","Number","Social Security Status",839
"Chaplin","0901513810","2011-2015","Without SSI","Number","Margins of Error",52
"Chaplin","0901513810","2011-2015","Without SSI","Number","Social Security Status",612
"Chaplin","0901513810","2011-2015","Without SSI","Percent","Margins of Error",7.7
"Chaplin","0901513810","2011-2015","Without SSI","Percent","Social Security Status",72.9
"Chaplin","0901513810","2011-2015","With SSI","Number","Margins of Error",45
"Chaplin","0901513810","2011-2015","With SSI","Number","Social Security Status",227
"Chaplin","0901513810","2011-2015","With SSI","Percent","Margins of Error",5.6
"Chaplin","0901513810","2011-2015","With SSI","Percent","Social Security Status",27.1
"Chaplin","0901513810","2012-2016","Total","Number","Margins of Error",56
"Chaplin","0901513810","2012-2016","Total","Number","Social Security Status",858
"Chaplin","0901513810","2012-2016","Without SSI","Number","Margins of Error",55
"Chaplin","0901513810","2012-2016","Without SSI","Number","Social Security Status",595
"Chaplin","0901513810","2012-2016","Without SSI","Percent","Margins of Error",7.8
"Chaplin","0901513810","2012-2016","Without SSI","Percent","Social Security Status",69.3
"Chaplin","0901513810","2012-2016","With SSI","Number","Margins of Error",48
"Chaplin","0901513810","2012-2016","With SSI","Number","Social Security Status",263
"Chaplin","0901513810","2012-2016","With SSI","Percent","Margins of Error",5.9
"Chaplin","0901513810","2012-2016","With SSI","Percent","Social Security Status",30.7
"Cheshire","0900914160","2006-2010","Total","Number","Margins of Error",241
"Cheshire","0900914160","2006-2010","Total","Number","Social Security Status",9214
"Cheshire","0900914160","2006-2010","Without SSI","Number","Margins of Error",253
"Cheshire","0900914160","2006-2010","Without SSI","Number","Social Security Status",6601
"Cheshire","0900914160","2006-2010","Without SSI","Percent","Margins of Error",3.3
"Cheshire","0900914160","2006-2010","Without SSI","Percent","Social Security Status",71.6
"Cheshire","0900914160","2006-2010","With SSI","Number","Margins of Error",190
"Cheshire","0900914160","2006-2010","With SSI","Number","Social Security Status",2613
"Cheshire","0900914160","2006-2010","With SSI","Percent","Margins of Error",2.2
"Cheshire","0900914160","2006-2010","With SSI","Percent","Social Security Status",28.4
"Cheshire","0900914160","2007-2011","Total","Number","Margins of Error",297
"Cheshire","0900914160","2007-2011","Total","Number","Social Security Status",9367
"Cheshire","0900914160","2007-2011","Without SSI","Number","Margins of Error",257
"Cheshire","0900914160","2007-2011","Without SSI","Number","Social Security Status",6658
"Cheshire","0900914160","2007-2011","Without SSI","Percent","Margins of Error",3.6
"Cheshire","0900914160","2007-2011","Without SSI","Percent","Social Security Status",71.1
"Cheshire","0900914160","2007-2011","With SSI","Number","Margins of Error",209
"Cheshire","0900914160","2007-2011","With SSI","Number","Social Security Status",2709
"Cheshire","0900914160","2007-2011","With SSI","Percent","Margins of Error",2.4
"Cheshire","0900914160","2007-2011","With SSI","Percent","Social Security Status",28.9
"Cheshire","0900914160","2008-2012","Total","Number","Margins of Error",259
"Cheshire","0900914160","2008-2012","Total","Number","Social Security Status",9528
"Cheshire","0900914160","2008-2012","Without SSI","Number","Margins of Error",258
"Cheshire","0900914160","2008-2012","Without SSI","Number","Social Security Status",6819
"Cheshire","0900914160","2008-2012","Without SSI","Percent","Margins of Error",3.3
"Cheshire","0900914160","2008-2012","Without SSI","Percent","Social Security Status",71.6
"Cheshire","0900914160","2008-2012","With SSI","Number","Margins of Error",215
"Cheshire","0900914160","2008-2012","With SSI","Number","Social Security Status",2709
"Cheshire","0900914160","2008-2012","With SSI","Percent","Margins of Error",2.4
"Cheshire","0900914160","2008-2012","With SSI","Percent","Social Security Status",28.4
"Cheshire","0900914160","2009-2013","Total","Number","Margins of Error",263
"Cheshire","0900914160","2009-2013","Total","Number","Social Security Status",9671
"Cheshire","0900914160","2009-2013","Without SSI","Number","Margins of Error",262
"Cheshire","0900914160","2009-2013","Without SSI","Number","Social Security Status",6982
"Cheshire","0900914160","2009-2013","Without SSI","Percent","Margins of Error",3.3
"Cheshire","0900914160","2009-2013","Without SSI","Percent","Social Security Status",72.2
"Cheshire","0900914160","2009-2013","With SSI","Number","Margins of Error",199
"Cheshire","0900914160","2009-2013","With SSI","Number","Social Security Status",2689
"Cheshire","0900914160","2009-2013","With SSI","Percent","Margins of Error",2.2
"Cheshire","0900914160","2009-2013","With SSI","Percent","Social Security Status",27.8
"Cheshire","0900914160","2010-2014","Total","Number","Margins of Error",313
"Cheshire","0900914160","2010-2014","Total","Number","Social Security Status",9799
"Cheshire","0900914160","2010-2014","Without SSI","Number","Margins of Error",280
"Cheshire","0900914160","2010-2014","Without SSI","Number","Social Security Status",7046
"Cheshire","0900914160","2010-2014","Without SSI","Percent","Margins of Error",1.7
"Cheshire","0900914160","2010-2014","Without SSI","Percent","Social Security Status",71.9
"Cheshire","0900914160","2010-2014","With SSI","Number","Margins of Error",237
"Cheshire","0900914160","2010-2014","With SSI","Number","Social Security Status",2753
"Cheshire","0900914160","2010-2014","With SSI","Percent","Margins of Error",2.2
"Cheshire","0900914160","2010-2014","With SSI","Percent","Social Security Status",28.1
"Cheshire","0900914160","2011-2015","Total","Number","Margins of Error",298
"Cheshire","0900914160","2011-2015","Total","Number","Social Security Status",9937
"Cheshire","0900914160","2011-2015","Without SSI","Number","Margins of Error",323
"Cheshire","0900914160","2011-2015","Without SSI","Number","Social Security Status",6961
"Cheshire","0900914160","2011-2015","Without SSI","Percent","Margins of Error",3.9
"Cheshire","0900914160","2011-2015","Without SSI","Percent","Social Security Status",70.1
"Cheshire","0900914160","2011-2015","With SSI","Number","Margins of Error",221
"Cheshire","0900914160","2011-2015","With SSI","Number","Social Security Status",2976
"Cheshire","0900914160","2011-2015","With SSI","Percent","Margins of Error",2.4
"Cheshire","0900914160","2011-2015","With SSI","Percent","Social Security Status",29.9
"Cheshire","0900914160","2012-2016","Total","Number","Margins of Error",348
"Cheshire","0900914160","2012-2016","Total","Number","Social Security Status",10045
"Cheshire","0900914160","2012-2016","Without SSI","Number","Margins of Error",347
"Cheshire","0900914160","2012-2016","Without SSI","Number","Social Security Status",6809
"Cheshire","0900914160","2012-2016","Without SSI","Percent","Margins of Error",4.2
"Cheshire","0900914160","2012-2016","Without SSI","Percent","Social Security Status",67.8
"Cheshire","0900914160","2012-2016","With SSI","Number","Margins of Error",274
"Cheshire","0900914160","2012-2016","With SSI","Number","Social Security Status",3236
"Cheshire","0900914160","2012-2016","With SSI","Percent","Margins of Error",2.9
"Cheshire","0900914160","2012-2016","With SSI","Percent","Social Security Status",32.2
"Chester","0900714300","2006-2010","Total","Number","Margins of Error",125
"Chester","0900714300","2006-2010","Total","Number","Social Security Status",1620
"Chester","0900714300","2006-2010","Without SSI","Number","Margins of Error",114
"Chester","0900714300","2006-2010","Without SSI","Number","Social Security Status",1164
"Chester","0900714300","2006-2010","Without SSI","Percent","Margins of Error",9
"Chester","0900714300","2006-2010","Without SSI","Percent","Social Security Status",71.9
"Chester","0900714300","2006-2010","With SSI","Number","Margins of Error",93
"Chester","0900714300","2006-2010","With SSI","Number","Social Security Status",456
"Chester","0900714300","2006-2010","With SSI","Percent","Margins of Error",6.1
"Chester","0900714300","2006-2010","With SSI","Percent","Social Security Status",28.1
"Chester","0900714300","2007-2011","Total","Number","Margins of Error",107
"Chester","0900714300","2007-2011","Total","Number","Social Security Status",1600
"Chester","0900714300","2007-2011","Without SSI","Number","Margins of Error",109
"Chester","0900714300","2007-2011","Without SSI","Number","Social Security Status",1111
"Chester","0900714300","2007-2011","Without SSI","Percent","Margins of Error",8.2
"Chester","0900714300","2007-2011","Without SSI","Percent","Social Security Status",69.4
"Chester","0900714300","2007-2011","With SSI","Number","Margins of Error",90
"Chester","0900714300","2007-2011","With SSI","Number","Social Security Status",489
"Chester","0900714300","2007-2011","With SSI","Percent","Margins of Error",6
"Chester","0900714300","2007-2011","With SSI","Percent","Social Security Status",30.6
"Chester","0900714300","2008-2012","Total","Number","Margins of Error",100
"Chester","0900714300","2008-2012","Total","Number","Social Security Status",1697
"Chester","0900714300","2008-2012","Without SSI","Number","Margins of Error",99
"Chester","0900714300","2008-2012","Without SSI","Number","Social Security Status",1125
"Chester","0900714300","2008-2012","Without SSI","Percent","Margins of Error",7
"Chester","0900714300","2008-2012","Without SSI","Percent","Social Security Status",66.3
"Chester","0900714300","2008-2012","With SSI","Number","Margins of Error",100
"Chester","0900714300","2008-2012","With SSI","Number","Social Security Status",572
"Chester","0900714300","2008-2012","With SSI","Percent","Margins of Error",6.2
"Chester","0900714300","2008-2012","With SSI","Percent","Social Security Status",33.7
"Chester","0900714300","2009-2013","Total","Number","Margins of Error",118
"Chester","0900714300","2009-2013","Total","Number","Social Security Status",1783
"Chester","0900714300","2009-2013","Without SSI","Number","Margins of Error",117
"Chester","0900714300","2009-2013","Without SSI","Number","Social Security Status",1159
"Chester","0900714300","2009-2013","Without SSI","Percent","Margins of Error",7.8
"Chester","0900714300","2009-2013","Without SSI","Percent","Social Security Status",65
"Chester","0900714300","2009-2013","With SSI","Number","Margins of Error",114
"Chester","0900714300","2009-2013","With SSI","Number","Social Security Status",624
"Chester","0900714300","2009-2013","With SSI","Percent","Margins of Error",6.8
"Chester","0900714300","2009-2013","With SSI","Percent","Social Security Status",35
"Chester","0900714300","2010-2014","Total","Number","Margins of Error",139
"Chester","0900714300","2010-2014","Total","Number","Social Security Status",1853
"Chester","0900714300","2010-2014","Without SSI","Number","Margins of Error",126
"Chester","0900714300","2010-2014","Without SSI","Number","Social Security Status",1137
"Chester","0900714300","2010-2014","Without SSI","Percent","Margins of Error",5
"Chester","0900714300","2010-2014","Without SSI","Percent","Social Security Status",61.4
"Chester","0900714300","2010-2014","With SSI","Number","Margins of Error",113
"Chester","0900714300","2010-2014","With SSI","Number","Social Security Status",716
"Chester","0900714300","2010-2014","With SSI","Percent","Margins of Error",5.4
"Chester","0900714300","2010-2014","With SSI","Percent","Social Security Status",38.6
"Chester","0900714300","2011-2015","Total","Number","Margins of Error",139
"Chester","0900714300","2011-2015","Total","Number","Social Security Status",1830
"Chester","0900714300","2011-2015","Without SSI","Number","Margins of Error",109
"Chester","0900714300","2011-2015","Without SSI","Number","Social Security Status",1126
"Chester","0900714300","2011-2015","Without SSI","Percent","Margins of Error",7.6
"Chester","0900714300","2011-2015","Without SSI","Percent","Social Security Status",61.5
"Chester","0900714300","2011-2015","With SSI","Number","Margins of Error",101
"Chester","0900714300","2011-2015","With SSI","Number","Social Security Status",704
"Chester","0900714300","2011-2015","With SSI","Percent","Margins of Error",6.2
"Chester","0900714300","2011-2015","With SSI","Percent","Social Security Status",38.5
"Chester","0900714300","2012-2016","Total","Number","Margins of Error",122
"Chester","0900714300","2012-2016","Total","Number","Social Security Status",1853
"Chester","0900714300","2012-2016","Without SSI","Number","Margins of Error",113
"Chester","0900714300","2012-2016","Without SSI","Number","Social Security Status",1136
"Chester","0900714300","2012-2016","Without SSI","Percent","Margins of Error",7.3
"Chester","0900714300","2012-2016","Without SSI","Percent","Social Security Status",61.3
"Chester","0900714300","2012-2016","With SSI","Number","Margins of Error",96
"Chester","0900714300","2012-2016","With SSI","Number","Social Security Status",717
"Chester","0900714300","2012-2016","With SSI","Percent","Margins of Error",5.8
"Chester","0900714300","2012-2016","With SSI","Percent","Social Security Status",38.7
"Clinton","0900715350","2006-2010","Total","Number","Margins of Error",142
"Clinton","0900715350","2006-2010","Total","Number","Social Security Status",5434
"Clinton","0900715350","2006-2010","Without SSI","Number","Margins of Error",186
"Clinton","0900715350","2006-2010","Without SSI","Number","Social Security Status",3784
"Clinton","0900715350","2006-2010","Without SSI","Percent","Margins of Error",3.9
"Clinton","0900715350","2006-2010","Without SSI","Percent","Social Security Status",69.6
"Clinton","0900715350","2006-2010","With SSI","Number","Margins of Error",158
"Clinton","0900715350","2006-2010","With SSI","Number","Social Security Status",1650
"Clinton","0900715350","2006-2010","With SSI","Percent","Margins of Error",3
"Clinton","0900715350","2006-2010","With SSI","Percent","Social Security Status",30.4
"Clinton","0900715350","2007-2011","Total","Number","Margins of Error",146
"Clinton","0900715350","2007-2011","Total","Number","Social Security Status",5478
"Clinton","0900715350","2007-2011","Without SSI","Number","Margins of Error",183
"Clinton","0900715350","2007-2011","Without SSI","Number","Social Security Status",3830
"Clinton","0900715350","2007-2011","Without SSI","Percent","Margins of Error",3.8
"Clinton","0900715350","2007-2011","Without SSI","Percent","Social Security Status",69.9
"Clinton","0900715350","2007-2011","With SSI","Number","Margins of Error",167
"Clinton","0900715350","2007-2011","With SSI","Number","Social Security Status",1648
"Clinton","0900715350","2007-2011","With SSI","Percent","Margins of Error",3.2
"Clinton","0900715350","2007-2011","With SSI","Percent","Social Security Status",30.1
"Clinton","0900715350","2008-2012","Total","Number","Margins of Error",198
"Clinton","0900715350","2008-2012","Total","Number","Social Security Status",5443
"Clinton","0900715350","2008-2012","Without SSI","Number","Margins of Error",180
"Clinton","0900715350","2008-2012","Without SSI","Number","Social Security Status",3694
"Clinton","0900715350","2008-2012","Without SSI","Percent","Margins of Error",4.1
"Clinton","0900715350","2008-2012","Without SSI","Percent","Social Security Status",67.9
"Clinton","0900715350","2008-2012","With SSI","Number","Margins of Error",168
"Clinton","0900715350","2008-2012","With SSI","Number","Social Security Status",1749
"Clinton","0900715350","2008-2012","With SSI","Percent","Margins of Error",3.3
"Clinton","0900715350","2008-2012","With SSI","Percent","Social Security Status",32.1
"Clinton","0900715350","2009-2013","Total","Number","Margins of Error",192
"Clinton","0900715350","2009-2013","Total","Number","Social Security Status",5305
"Clinton","0900715350","2009-2013","Without SSI","Number","Margins of Error",173
"Clinton","0900715350","2009-2013","Without SSI","Number","Social Security Status",3606
"Clinton","0900715350","2009-2013","Without SSI","Percent","Margins of Error",4.1
"Clinton","0900715350","2009-2013","Without SSI","Percent","Social Security Status",68
"Clinton","0900715350","2009-2013","With SSI","Number","Margins of Error",162
"Clinton","0900715350","2009-2013","With SSI","Number","Social Security Status",1699
"Clinton","0900715350","2009-2013","With SSI","Percent","Margins of Error",3.3
"Clinton","0900715350","2009-2013","With SSI","Percent","Social Security Status",32
"Clinton","0900715350","2010-2014","Total","Number","Margins of Error",198
"Clinton","0900715350","2010-2014","Total","Number","Social Security Status",5313
"Clinton","0900715350","2010-2014","Without SSI","Number","Margins of Error",171
"Clinton","0900715350","2010-2014","Without SSI","Number","Social Security Status",3670
"Clinton","0900715350","2010-2014","Without SSI","Percent","Margins of Error",1.9
"Clinton","0900715350","2010-2014","Without SSI","Percent","Social Security Status",69.1
"Clinton","0900715350","2010-2014","With SSI","Number","Margins of Error",168
"Clinton","0900715350","2010-2014","With SSI","Number","Social Security Status",1643
"Clinton","0900715350","2010-2014","With SSI","Percent","Margins of Error",2.9
"Clinton","0900715350","2010-2014","With SSI","Percent","Social Security Status",30.9
"Clinton","0900715350","2011-2015","Total","Number","Margins of Error",183
"Clinton","0900715350","2011-2015","Total","Number","Social Security Status",5338
"Clinton","0900715350","2011-2015","Without SSI","Number","Margins of Error",142
"Clinton","0900715350","2011-2015","Without SSI","Number","Social Security Status",3660
"Clinton","0900715350","2011-2015","Without SSI","Percent","Margins of Error",3.5
"Clinton","0900715350","2011-2015","Without SSI","Percent","Social Security Status",68.6
"Clinton","0900715350","2011-2015","With SSI","Number","Margins of Error",163
"Clinton","0900715350","2011-2015","With SSI","Number","Social Security Status",1678
"Clinton","0900715350","2011-2015","With SSI","Percent","Margins of Error",3.2
"Clinton","0900715350","2011-2015","With SSI","Percent","Social Security Status",31.4
"Clinton","0900715350","2012-2016","Total","Number","Margins of Error",187
"Clinton","0900715350","2012-2016","Total","Number","Social Security Status",5294
"Clinton","0900715350","2012-2016","Without SSI","Number","Margins of Error",172
"Clinton","0900715350","2012-2016","Without SSI","Number","Social Security Status",3563
"Clinton","0900715350","2012-2016","Without SSI","Percent","Margins of Error",4
"Clinton","0900715350","2012-2016","Without SSI","Percent","Social Security Status",67.3
"Clinton","0900715350","2012-2016","With SSI","Number","Margins of Error",143
"Clinton","0900715350","2012-2016","With SSI","Number","Social Security Status",1731
"Clinton","0900715350","2012-2016","With SSI","Percent","Margins of Error",2.9
"Clinton","0900715350","2012-2016","With SSI","Percent","Social Security Status",32.7
"Colchester","0901115910","2006-2010","Total","Number","Margins of Error",208
"Colchester","0901115910","2006-2010","Total","Number","Social Security Status",5836
"Colchester","0901115910","2006-2010","Without SSI","Number","Margins of Error",238
"Colchester","0901115910","2006-2010","Without SSI","Number","Social Security Status",4513
"Colchester","0901115910","2006-2010","Without SSI","Percent","Margins of Error",4.9
"Colchester","0901115910","2006-2010","Without SSI","Percent","Social Security Status",77.3
"Colchester","0901115910","2006-2010","With SSI","Number","Margins of Error",208
"Colchester","0901115910","2006-2010","With SSI","Number","Social Security Status",1323
"Colchester","0901115910","2006-2010","With SSI","Percent","Margins of Error",3.7
"Colchester","0901115910","2006-2010","With SSI","Percent","Social Security Status",22.7
"Colchester","0901115910","2007-2011","Total","Number","Margins of Error",188
"Colchester","0901115910","2007-2011","Total","Number","Social Security Status",5939
"Colchester","0901115910","2007-2011","Without SSI","Number","Margins of Error",216
"Colchester","0901115910","2007-2011","Without SSI","Number","Social Security Status",4574
"Colchester","0901115910","2007-2011","Without SSI","Percent","Margins of Error",4.4
"Colchester","0901115910","2007-2011","Without SSI","Percent","Social Security Status",77
"Colchester","0901115910","2007-2011","With SSI","Number","Margins of Error",198
"Colchester","0901115910","2007-2011","With SSI","Number","Social Security Status",1365
"Colchester","0901115910","2007-2011","With SSI","Percent","Margins of Error",3.4
"Colchester","0901115910","2007-2011","With SSI","Percent","Social Security Status",23
"Colchester","0901115910","2008-2012","Total","Number","Margins of Error",219
"Colchester","0901115910","2008-2012","Total","Number","Social Security Status",5923
"Colchester","0901115910","2008-2012","Without SSI","Number","Margins of Error",226
"Colchester","0901115910","2008-2012","Without SSI","Number","Social Security Status",4356
"Colchester","0901115910","2008-2012","Without SSI","Percent","Margins of Error",4.7
"Colchester","0901115910","2008-2012","Without SSI","Percent","Social Security Status",73.5
"Colchester","0901115910","2008-2012","With SSI","Number","Margins of Error",191
"Colchester","0901115910","2008-2012","With SSI","Number","Social Security Status",1567
"Colchester","0901115910","2008-2012","With SSI","Percent","Margins of Error",3.4
"Colchester","0901115910","2008-2012","With SSI","Percent","Social Security Status",26.5
"Colchester","0901115910","2009-2013","Total","Number","Margins of Error",227
"Colchester","0901115910","2009-2013","Total","Number","Social Security Status",5793
"Colchester","0901115910","2009-2013","Without SSI","Number","Margins of Error",219
"Colchester","0901115910","2009-2013","Without SSI","Number","Social Security Status",4371
"Colchester","0901115910","2009-2013","Without SSI","Percent","Margins of Error",4.8
"Colchester","0901115910","2009-2013","Without SSI","Percent","Social Security Status",75.5
"Colchester","0901115910","2009-2013","With SSI","Number","Margins of Error",162
"Colchester","0901115910","2009-2013","With SSI","Number","Social Security Status",1422
"Colchester","0901115910","2009-2013","With SSI","Percent","Margins of Error",3
"Colchester","0901115910","2009-2013","With SSI","Percent","Social Security Status",24.5
"Colchester","0901115910","2010-2014","Total","Number","Margins of Error",222
"Colchester","0901115910","2010-2014","Total","Number","Social Security Status",5785
"Colchester","0901115910","2010-2014","Without SSI","Number","Margins of Error",224
"Colchester","0901115910","2010-2014","Without SSI","Number","Social Security Status",4336
"Colchester","0901115910","2010-2014","Without SSI","Percent","Margins of Error",2.6
"Colchester","0901115910","2010-2014","Without SSI","Percent","Social Security Status",75
"Colchester","0901115910","2010-2014","With SSI","Number","Margins of Error",174
"Colchester","0901115910","2010-2014","With SSI","Number","Social Security Status",1449
"Colchester","0901115910","2010-2014","With SSI","Percent","Margins of Error",2.9
"Colchester","0901115910","2010-2014","With SSI","Percent","Social Security Status",25
"Colchester","0901115910","2011-2015","Total","Number","Margins of Error",182
"Colchester","0901115910","2011-2015","Total","Number","Social Security Status",5734
"Colchester","0901115910","2011-2015","Without SSI","Number","Margins of Error",181
"Colchester","0901115910","2011-2015","Without SSI","Number","Social Security Status",4298
"Colchester","0901115910","2011-2015","Without SSI","Percent","Margins of Error",4
"Colchester","0901115910","2011-2015","Without SSI","Percent","Social Security Status",75
"Colchester","0901115910","2011-2015","With SSI","Number","Margins of Error",150
"Colchester","0901115910","2011-2015","With SSI","Number","Social Security Status",1436
"Colchester","0901115910","2011-2015","With SSI","Percent","Margins of Error",2.7
"Colchester","0901115910","2011-2015","With SSI","Percent","Social Security Status",25
"Colchester","0901115910","2012-2016","Total","Number","Margins of Error",222
"Colchester","0901115910","2012-2016","Total","Number","Social Security Status",5818
"Colchester","0901115910","2012-2016","Without SSI","Number","Margins of Error",211
"Colchester","0901115910","2012-2016","Without SSI","Number","Social Security Status",4339
"Colchester","0901115910","2012-2016","Without SSI","Percent","Margins of Error",4.6
"Colchester","0901115910","2012-2016","Without SSI","Percent","Social Security Status",74.6
"Colchester","0901115910","2012-2016","With SSI","Number","Margins of Error",160
"Colchester","0901115910","2012-2016","With SSI","Number","Social Security Status",1479
"Colchester","0901115910","2012-2016","With SSI","Percent","Margins of Error",2.9
"Colchester","0901115910","2012-2016","With SSI","Percent","Social Security Status",25.4
"Colebrook","0900516050","2006-2010","Total","Number","Margins of Error",49
"Colebrook","0900516050","2006-2010","Total","Number","Social Security Status",554
"Colebrook","0900516050","2006-2010","Without SSI","Number","Margins of Error",39
"Colebrook","0900516050","2006-2010","Without SSI","Number","Social Security Status",380
"Colebrook","0900516050","2006-2010","Without SSI","Percent","Margins of Error",9.3
"Colebrook","0900516050","2006-2010","Without SSI","Percent","Social Security Status",68.6
"Colebrook","0900516050","2006-2010","With SSI","Number","Margins of Error",37
"Colebrook","0900516050","2006-2010","With SSI","Number","Social Security Status",174
"Colebrook","0900516050","2006-2010","With SSI","Percent","Margins of Error",7.2
"Colebrook","0900516050","2006-2010","With SSI","Percent","Social Security Status",31.4
"Colebrook","0900516050","2007-2011","Total","Number","Margins of Error",37
"Colebrook","0900516050","2007-2011","Total","Number","Social Security Status",569
"Colebrook","0900516050","2007-2011","Without SSI","Number","Margins of Error",43
"Colebrook","0900516050","2007-2011","Without SSI","Number","Social Security Status",377
"Colebrook","0900516050","2007-2011","Without SSI","Percent","Margins of Error",8.7
"Colebrook","0900516050","2007-2011","Without SSI","Percent","Social Security Status",66.3
"Colebrook","0900516050","2007-2011","With SSI","Number","Margins of Error",38
"Colebrook","0900516050","2007-2011","With SSI","Number","Social Security Status",192
"Colebrook","0900516050","2007-2011","With SSI","Percent","Margins of Error",7
"Colebrook","0900516050","2007-2011","With SSI","Percent","Social Security Status",33.7
"Colebrook","0900516050","2008-2012","Total","Number","Margins of Error",50
"Colebrook","0900516050","2008-2012","Total","Number","Social Security Status",591
"Colebrook","0900516050","2008-2012","Without SSI","Number","Margins of Error",47
"Colebrook","0900516050","2008-2012","Without SSI","Number","Social Security Status",392
"Colebrook","0900516050","2008-2012","Without SSI","Percent","Margins of Error",9.7
"Colebrook","0900516050","2008-2012","Without SSI","Percent","Social Security Status",66.3
"Colebrook","0900516050","2008-2012","With SSI","Number","Margins of Error",33
"Colebrook","0900516050","2008-2012","With SSI","Number","Social Security Status",199
"Colebrook","0900516050","2008-2012","With SSI","Percent","Margins of Error",6.3
"Colebrook","0900516050","2008-2012","With SSI","Percent","Social Security Status",33.7
"Colebrook","0900516050","2009-2013","Total","Number","Margins of Error",51
"Colebrook","0900516050","2009-2013","Total","Number","Social Security Status",586
"Colebrook","0900516050","2009-2013","Without SSI","Number","Margins of Error",42
"Colebrook","0900516050","2009-2013","Without SSI","Number","Social Security Status",395
"Colebrook","0900516050","2009-2013","Without SSI","Percent","Margins of Error",9.3
"Colebrook","0900516050","2009-2013","Without SSI","Percent","Social Security Status",67.4
