GEO.id,GEO.id2,GEO.display-label,B19055_001E,B19055_001M,B19055_002E,B19055_002M,B19055_003E,B19055_003M
Id,Id2,Geography,Estimate!!Total,Margin of Error!!Total,Estimate!!Total!!With Social Security income,Margin of Error!!Total!!With Social Security income,Estimate!!Total!!No Social Security income,Margin of Error!!Total!!No Social Security income
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7113,224,1852,171,5261,227
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",50341,817,13424,627,36917,762
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6122,213,1942,208,4180,244
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",29692,629,7843,467,21849,539
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6703,147,1637,140,5066,146
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2762,122,829,110,1933,135
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",20365,352,6041,290,14324,358
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",22284,485,6479,339,15805,432
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6865,230,2160,187,4705,245
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7042,172,2245,211,4797,211
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",4869,155,1640,150,3229,182
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",9749,274,2995,206,6754,259
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",33385,635,8455,494,24930,608
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3475,149,1076,128,2399,134
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9089,230,2479,202,6610,210
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",15961,398,5409,287,10552,383
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1406,92,564,83,842,87
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",48647,848,11849,517,36798,830
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",20179,422,7142,371,13037,427
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12383,295,4591,241,7792,296
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3448,139,834,111,2614,131
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",9820,258,2808,228,7012,217
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",5978,174,1674,145,4304,166
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",6970,167,2127,141,4843,180
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",8207,248,3169,249,5038,241
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8605,290,3707,265,4898,306
