GEO.id,GEO.id2,GEO.display-label,B19055_001E,B19055_001M,B19055_002E,B19055_002M,B19055_003E,B19055_003M
Id,Id2,Geography,Estimate!!Total:,Margin of Error!!Total:,Estimate!!Total:!!With Social Security income,Margin of Error!!Total:!!With Social Security income,Estimate!!Total:!!No Social Security income,Margin of Error!!Total:!!No Social Security income
0600000US0900100000,0900100000,"County subdivisions not defined, Fairfield County, Connecticut",0,12,0,12,0,12
0600000US0900104720,0900104720,"Bethel town, Fairfield County, Connecticut",7164,240,1964,184,5200,228
0600000US0900108070,0900108070,"Bridgeport town, Fairfield County, Connecticut",50638,795,13693,653,36945,855
0600000US0900108980,0900108980,"Brookfield town, Fairfield County, Connecticut",6200,239,2258,233,3942,234
0600000US0900118500,0900118500,"Danbury town, Fairfield County, Connecticut",30000,722,8211,533,21789,659
0600000US0900118850,0900118850,"Darien town, Fairfield County, Connecticut",6895,150,1717,169,5178,170
0600000US0900123890,0900123890,"Easton town, Fairfield County, Connecticut",2799,115,941,129,1858,135
0600000US0900126620,0900126620,"Fairfield town, Fairfield County, Connecticut",20641,401,5908,287,14733,341
0600000US0900133620,0900133620,"Greenwich town, Fairfield County, Connecticut",22271,365,6380,318,15891,393
0600000US0900148620,0900148620,"Monroe town, Fairfield County, Connecticut",6673,210,2142,213,4531,222
0600000US0900150580,0900150580,"New Canaan town, Fairfield County, Connecticut",7116,200,2320,197,4796,179
0600000US0900150860,0900150860,"New Fairfield town, Fairfield County, Connecticut",4971,166,1787,148,3184,175
0600000US0900152980,0900152980,"Newtown town, Fairfield County, Connecticut",9885,312,3267,280,6618,272
0600000US0900156060,0900156060,"Norwalk town, Fairfield County, Connecticut",34187,645,9206,500,24981,656
0600000US0900163480,0900163480,"Redding town, Fairfield County, Connecticut",3452,139,969,114,2483,144
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",9001,260,2478,253,6523,275
0600000US0900168170,0900168170,"Shelton town, Fairfield County, Connecticut",16185,368,5740,320,10445,288
0600000US0900168310,0900168310,"Sherman town, Fairfield County, Connecticut",1470,96,601,105,869,98
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",49141,877,12376,598,36765,868
0600000US0900174190,0900174190,"Stratford town, Fairfield County, Connecticut",19857,463,7020,331,12837,443
0600000US0900177200,0900177200,"Trumbull town, Fairfield County, Connecticut",12190,263,4382,293,7808,279
0600000US0900183430,0900183430,"Weston town, Fairfield County, Connecticut",3447,165,912,122,2535,151
0600000US0900183500,0900183500,"Westport town, Fairfield County, Connecticut",9916,269,2959,229,6957,273
0600000US0900186370,0900186370,"Wilton town, Fairfield County, Connecticut",6090,170,1805,183,4285,178
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",6977,202,2118,184,4859,220
0600000US0900304300,0900304300,"Berlin town, Hartford County, Connecticut",8181,286,2857,250,5324,279
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",8727,339,3773,294,4954,291
