GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
0900304300,06000US0900304300,"Berlin town, Hartford County, Connecticut",7822,224,2710,204,5112,220
0900305910,06000US0900305910,"Bloomfield town, Hartford County, Connecticut",8417,319,3380,272,5037,329
0900308490,06000US0900308490,"Bristol town, Hartford County, Connecticut",25194,607,7873,456,17321,574
0900310100,06000US0900310100,"Burlington town, Hartford County, Connecticut",3381,172,852,168,2529,190
0900312270,06000US0900312270,"Canton town, Hartford County, Connecticut",4023,159,1137,139,2886,169
0900322070,06000US0900322070,"East Granby town, Hartford County, Connecticut",2131,98,536,97,1595,117
0900322630,06000US0900322630,"East Hartford town, Hartford County, Connecticut",20157,410,5913,340,14244,475
0900324800,06000US0900324800,"East Windsor town, Hartford County, Connecticut",4556,261,1294,173,3262,227
0900325990,06000US0900325990,"Enfield town, Hartford County, Connecticut",16192,446,4703,269,11489,395
0900327600,06000US0900327600,"Farmington town, Hartford County, Connecticut",10400,265,3235,215,7165,266
0900331240,06000US0900331240,"Glastonbury town, Hartford County, Connecticut",13152,261,3729,203,9423,266
0900332640,06000US0900332640,"Granby town, Hartford County, Connecticut",4409,170,1208,138,3201,182
0900337070,06000US0900337070,"Hartford town, Hartford County, Connecticut",45801,879,11278,644,34523,847
0900337140,06000US0900337140,"Hartland town, Hartford County, Connecticut",761,49,254,38,507,45
0900344700,06000US0900344700,"Manchester town, Hartford County, Connecticut",24005,460,6320,377,17685,480
0900345820,06000US0900345820,"Marlborough town, Hartford County, Connecticut",2259,114,673,141,1586,139
0900350440,06000US0900350440,"New Britain town, Hartford County, Connecticut",27820,585,7188,426,20632,564
0900352140,06000US0900352140,"Newington town, Hartford County, Connecticut",12634,302,4221,251,8413,322
0900360120,06000US0900360120,"Plainville town, Hartford County, Connecticut",7699,264,2713,298,4986,291
0900365370,06000US0900365370,"Rocky Hill town, Hartford County, Connecticut",8127,387,2113,232,6014,341
0900368940,06000US0900368940,"Simsbury town, Hartford County, Connecticut",8731,184,2297,162,6434,173
0900370550,06000US0900370550,"Southington town, Hartford County, Connecticut",17115,318,5872,272,11243,357
0900371390,06000US0900371390,"South Windsor town, Hartford County, Connecticut",9606,256,2763,218,6843,221
0900374540,06000US0900374540,"Suffield town, Hartford County, Connecticut",4822,225,1440,134,3382,199
0900382590,06000US0900382590,"West Hartford town, Hartford County, Connecticut",24910,344,7467,310,17443,361
0900384900,06000US0900384900,"Wethersfield town, Hartford County, Connecticut",10853,258,4186,252,6667,275
0900387000,06000US0900387000,"Windsor town, Hartford County, Connecticut",10796,283,3364,243,7432,321
0900387070,06000US0900387070,"Windsor Locks town, Hartford County, Connecticut",5224,303,1548,181,3676,259
0900502760,06000US0900502760,"Barkhamsted town, Litchfield County, Connecticut",1475,105,370,81,1105,94
0900504930,06000US0900504930,"Bethlehem town, Litchfield County, Connecticut",1353,85,423,74,930,99
0900508210,06000US0900508210,"Bridgewater town, Litchfield County, Connecticut",765,46,315,45,450,45
0900510940,06000US0900510940,"Canaan town, Litchfield County, Connecticut",575,66,213,36,362,62
0900516050,06000US0900516050,"Colebrook town, Litchfield County, Connecticut",615,52,221,38,394,46
0900517240,06000US0900517240,"Cornwall town, Litchfield County, Connecticut",621,50,258,40,363,57
0900532290,06000US0900532290,"Goshen town, Litchfield County, Connecticut",1225,101,400,87,825,103
0900537280,06000US0900537280,"Harwinton town, Litchfield County, Connecticut",2072,99,761,96,1311,119
0900540290,06000US0900540290,"Kent town, Litchfield County, Connecticut",1125,118,329,69,796,102
0900543370,06000US0900543370,"Litchfield town, Litchfield County, Connecticut",3454,161,1122,125,2332,166
0900549460,06000US0900549460,"Morris town, Litchfield County, Connecticut",925,66,232,53,693,79
0900551350,06000US0900551350,"New Hartford town, Litchfield County, Connecticut",2702,164,820,137,1882,153
0900552630,06000US0900552630,"New Milford town, Litchfield County, Connecticut",10642,303,2737,237,7905,272
0900553470,06000US0900553470,"Norfolk town, Litchfield County, Connecticut",635,70,269,42,366,58
0900554030,06000US0900554030,"North Canaan town, Litchfield County, Connecticut",1298,87,538,97,760,107
0900560750,06000US0900560750,"Plymouth town, Litchfield County, Connecticut",4711,164,1244,164,3467,164
0900565930,06000US0900565930,"Roxbury town, Litchfield County, Connecticut",945,50,357,52,588,50
0900566420,06000US0900566420,"Salisbury town, Litchfield County, Connecticut",1499,134,628,138,871,110
0900567960,06000US0900567960,"Sharon town, Litchfield County, Connecticut",1261,118,630,116,631,118
0900575730,06000US0900575730,"Thomaston town, Litchfield County, Connecticut",3000,120,996,124,2004,125
0900576570,06000US0900576570,"Torrington town, Litchfield County, Connecticut",14820,383,4805,311,10015,406
0900579510,06000US0900579510,"Warren town, Litchfield County, Connecticut",575,40,209,32,366,36
0900579720,06000US0900579720,"Washington town, Litchfield County, Connecticut",1545,135,698,154,847,120
0900580490,06000US0900580490,"Watertown town, Litchfield County, Connecticut",8476,274,2844,265,5632,292
0900586440,06000US0900586440,"Winchester town, Litchfield County, Connecticut",4819,265,1803,267,3016,271
0900587910,06000US0900587910,"Woodbury town, Litchfield County, Connecticut",4096,176,1408,189,2688,197
0900714300,06000US0900714300,"Chester town, Middlesex County, Connecticut",1853,139,716,113,1137,126
0900715350,06000US0900715350,"Clinton town, Middlesex County, Connecticut",5313,198,1643,168,3670,171
0900718080,06000US0900718080,"Cromwell town, Middlesex County, Connecticut",5501,252,1728,243,3773,197
0900719130,06000US0900719130,"Deep River town, Middlesex County, Connecticut",1882,118,640,119,1242,144
0900720810,06000US0900720810,"Durham town, Middlesex County, Connecticut",2582,155,704,115,1878,186
0900722280,06000US0900722280,"East Haddam town, Middlesex County, Connecticut",3500,193,875,135,2625,204
0900722490,06000US0900722490,"East Hampton town, Middlesex County, Connecticut",4990,183,1361,165,3629,209
0900726270,06000US0900726270,"Essex town, Middlesex County, Connecticut",2916,146,1278,153,1638,170
0900735230,06000US0900735230,"Haddam town, Middlesex County, Connecticut",3192,143,980,112,2212,160
0900740710,06000US0900740710,"Killingworth town, Middlesex County, Connecticut",2590,111,1057,137,1533,126
0900747080,06000US0900747080,"Middlefield town, Middlesex County, Connecticut",1729,101,539,99,1190,124
0900747360,06000US0900747360,"Middletown town, Middlesex County, Connecticut",19419,504,4766,292,14653,500
0900757320,06000US0900757320,"Old Saybrook town, Middlesex County, Connecticut",4217,168,1875,185,2342,196
0900761800,06000US0900761800,"Portland town, Middlesex County, Connecticut",3955,178,1257,182,2698,165
0900781680,06000US0900781680,"Westbrook town, Middlesex County, Connecticut",2733,153,1003,148,1730,152
0900901220,06000US0900901220,"Ansonia town, New Haven County, Connecticut",7240,363,2507,298,4733,362
0900903250,06000US0900903250,"Beacon Falls town, New Haven County, Connecticut",2334,135,643,91,1691,138
0900904580,06000US0900904580,"Bethany town, New Haven County, Connecticut",2034,93,490,89,1544,117
0900907310,06000US0900907310,"Branford town, New Haven County, Connecticut",12410,311,4156,295,8254,266
0900914160,06000US0900914160,"Cheshire town, New Haven County, Connecticut",9799,313,2753,237,7046,280
0900919550,06000US0900919550,"Derby town, New Haven County, Connecticut",4972,300,1364,234,3608,310
0900922910,06000US0900922910,"East Haven town, New Haven County, Connecticut",11215,326,4003,328,7212,381
0900934950,06000US0900934950,"Guilford town, New Haven County, Connecticut",8814,216,2727,205,6087,253
0900935650,06000US0900935650,"Hamden town, New Haven County, Connecticut",23374,706,6975,412,16399,640
0900944560,06000US0900944560,"Madison town, New Haven County, Connecticut",6727,228,2367,235,4360,218
0900946520,06000US0900946520,"Meriden town, New Haven County, Connecticut",24018,497,7105,425,16913,506
0900946940,06000US0900946940,"Middlebury town, New Haven County, Connecticut",2761,102,889,100,1872,113
0900947535,06000US0900947535,"Milford town, New Haven County, Connecticut",21199,399,6606,340,14593,432
0900949950,06000US0900949950,"Naugatuck town, New Haven County, Connecticut",12157,384,3762,331,8395,350
0900952070,06000US0900952070,"New Haven town, New Haven County, Connecticut",49945,845,11343,564,38602,828
0900953890,06000US0900953890,"North Branford town, New Haven County, Connecticut",5549,188,1950,198,3599,214
0900954870,06000US0900954870,"North Haven town, New Haven County, Connecticut",8590,276,3299,196,5291,249
0900957600,06000US0900957600,"Orange town, New Haven County, Connecticut",4841,148,1720,132,3121,168
0900958300,06000US0900958300,"Oxford town, New Haven County, Connecticut",4411,145,1289,138,3122,140
0900962290,06000US0900962290,"Prospect town, New Haven County, Connecticut",3256,140,1096,139,2160,182
0900967610,06000US0900967610,"Seymour town, New Haven County, Connecticut",6090,248,1632,192,4458,248
0900969640,06000US0900969640,"Southbury town, New Haven County, Connecticut",7841,298,3661,253,4180,247
0900978740,06000US0900978740,"Wallingford town, New Haven County, Connecticut",17169,365,5200,281,11969,353
0900980070,06000US0900980070,"Waterbury town, New Haven County, Connecticut",40960,746,11625,588,29335,645
0900982870,06000US0900982870,"West Haven town, New Haven County, Connecticut",20463,542,5988,372,14475,522
0900987560,06000US0900987560,"Wolcott town, New Haven County, Connecticut",5827,244,1971,175,3856,233
0900987700,06000US0900987700,"Woodbridge town, New Haven County, Connecticut",3090,166,1025,163,2065,133
0901106820,06000US0901106820,"Bozrah town, New London County, Connecticut",1049,68,287,40,762,65
0901115910,06000US0901115910,"Colchester town, New London County, Connecticut",5785,222,1449,174,4336,224
0901123400,06000US0901123400,"East Lyme town, New London County, Connecticut",7263,201,2524,159,4739,189
0901129910,06000US0901129910,"Franklin town, New London County, Connecticut",740,38,243,33,497,40
0901133900,06000US0901133900,"Griswold town, New London County, Connecticut",4404,267,1224,187,3180,241
0901134250,06000US0901134250,"Groton town, New London County, Connecticut",16283,437,4208,294,12075,401
0901142390,06000US0901142390,"Lebanon town, New London County, Connecticut",2733,148,931,137,1802,161
0901142600,06000US0901142600,"Ledyard town, New London County, Connecticut",5669,230,1450,198,4219,251
0901143230,06000US0901143230,"Lisbon town, New London County, Connecticut",1635,98,577,80,1058,113
0901144210,06000US0901144210,"Lyme town, New London County, Connecticut",1060,63,429,73,631,70
0901148900,06000US0901148900,"Montville town, New London County, Connecticut",6846,308,2299,244,4547,342
0901152350,06000US0901152350,"New London town, New London County, Connecticut",10224,417,2282,239,7942,397
0901155500,06000US0901155500,"North Stonington town, New London County, Connecticut",2036,105,631,103,1405,137
0901156270,06000US0901156270,"Norwich town, New London County, Connecticut",16331,494,4724,328,11607,512
0901157040,06000US0901157040,"Old Lyme town, New London County, Connecticut",3216,142,1330,140,1886,150
0901162150,06000US0901162150,"Preston town, New London County, Connecticut",1978,126,574,77,1404,109
0901166210,06000US0901166210,"Salem town, New London County, Connecticut",1493,99,392,77,1101,89
0901171670,06000US0901171670,"Sprague town, New London County, Connecticut",1287,82,381,65,906,101
0901173770,06000US0901173770,"Stonington town, New London County, Connecticut",7881,212,2846,199,5035,234
0901178600,06000US0901178600,"Voluntown town, New London County, Connecticut",1038,61,341,52,697,68
0901180280,06000US0901180280,"Waterford town, New London County, Connecticut",7931,257,2930,214,5001,230
0901301080,06000US0901301080,"Andover town, Tolland County, Connecticut",1145,78,307,58,838,68
0901306260,06000US0901306260,"Bolton town, Tolland County, Connecticut",1985,104,565,86,1420,116
0901316400,06000US0901316400,"Columbia town, Tolland County, Connecticut",2079,131,613,95,1466,117
0901317800,06000US0901317800,"Coventry town, Tolland County, Connecticut",4781,171,1332,201,3449,209
0901325360,06000US0901325360,"Ellington town, Tolland County, Connecticut",6318,235,1442,179,4876,244
0901337910,06000US0901337910,"Hebron town, Tolland County, Connecticut",3356,144,877,134,2479,156
0901344910,06000US0901344910,"Mansfield town, Tolland County, Connecticut",5489,520,1567,200,3922,435
0901369220,06000US0901369220,"Somers town, Tolland County, Connecticut",3326,170,1059,138,2267,149
0901372090,06000US0901372090,"Stafford town, Tolland County, Connecticut",4721,186,1298,165,3423,199
0901376290,06000US0901376290,"Tolland town, Tolland County, Connecticut",5427,181,1398,169,4029,212
0901377830,06000US0901377830,"Union town, Tolland County, Connecticut",338,54,124,35,214,47
0901378250,06000US0901378250,"Vernon town, Tolland County, Connecticut",13167,343,3865,296,9302,368
0901385950,06000US0901385950,"Willington town, Tolland County, Connecticut",2312,178,445,95,1867,152
0901501430,06000US0901501430,"Ashford town, Windham County, Connecticut",1707,93,423,68,1284,115
0901509190,06000US0901509190,"Brooklyn town, Windham County, Connecticut",2918,183,945,155,1973,180
0901512130,06000US0901512130,"Canterbury town, Windham County, Connecticut",1931,103,557,82,1374,106
0901513810,06000US0901513810,"Chaplin town, Windham County, Connecticut",865,58,239,54,626,64
0901521860,06000US0901521860,"Eastford town, Windham County, Connecticut",689,43,192,34,497,45
0901536000,06000US0901536000,"Hampton town, Windham County, Connecticut",746,41,244,32,502,43
0901540500,06000US0901540500,"Killingly town, Windham County, Connecticut",6959,327,2031,260,4928,268
0901559980,06000US0901559980,"Plainfield town, Windham County, Connecticut",5730,227,1787,235,3943,280
0901561030,06000US0901561030,"Pomfret town, Windham County, Connecticut",1513,100,376,59,1137,96
0901562710,06000US0901562710,"Putnam town, Windham County, Connecticut",3870,218,1033,166,2837,229
0901567400,06000US0901567400,"Scotland town, Windham County, Connecticut",589,39,152,35,437,40
0901573420,06000US0901573420,"Sterling town, Windham County, Connecticut",1208,101,256,68,952,112
0901575870,06000US0901575870,"Thompson town, Windham County, Connecticut",3673,178,1263,170,2410,153
0901586790,06000US0901586790,"Windham town, Windham County, Connecticut",8920,418,2747,290,6173,413
0901588190,06000US0901588190,"Woodstock town, Windham County, Connecticut",3169,217,1049,188,2120,181
