GEO.id2,GEO.id,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id2,Id,Geography,Estimate;  Total: ,Margins of Error;  Total: ,Estimate;  With Social Security income ,Margins of Error;  With Social Security income ,Estimate;  No Social Security income ,Margins of Error;  No Social Security income 
09,04000US09,Connecticut,1356206,2983,397752,2126,958454,2847
0900104720,06000US0900104720,"Bethel town, Fairfield County, Connecticut",7071,210,1799,201,5272,256
0900108070,06000US0900108070,"Bridgeport town, Fairfield County, Connecticut",50034,904,12979,586,37055,807
0900108980,06000US0900108980,"Brookfield town, Fairfield County, Connecticut",6010,225,1695,188,4315,218
0900118500,06000US0900118500,"Danbury town, Fairfield County, Connecticut",29046,541,7337,415,21709,521
0900118850,06000US0900118850,"Darien town, Fairfield County, Connecticut",6556,177,1638,154,4918,176
0900123890,06000US0900123890,"Easton town, Fairfield County, Connecticut",2598,115,810,111,1788,123
0900126620,06000US0900126620,"Fairfield town, Fairfield County, Connecticut",20194,360,5744,276,14450,380
0900133620,06000US0900133620,"Greenwich town, Fairfield County, Connecticut",21994,390,6333,325,15661,390
0900148620,06000US0900148620,"Monroe town, Fairfield County, Connecticut",6602,204,1984,193,4618,225
0900150580,06000US0900150580,"New Canaan town, Fairfield County, Connecticut",6833,215,2077,200,4756,250
0900150860,06000US0900150860,"New Fairfield town, Fairfield County, Connecticut",4815,183,1444,158,3371,152
0900152980,06000US0900152980,"Newtown town, Fairfield County, Connecticut",9624,279,2728,218,6896,324
0900156060,06000US0900156060,"Norwalk town, Fairfield County, Connecticut",35450,663,9014,451,26436,613
0900163480,06000US0900163480,"Redding town, Fairfield County, Connecticut",3548,144,1222,134,2326,162
0900163970,06000US0900163970,"Ridgefield town, Fairfield County, Connecticut",8801,215,2266,191,6535,239
0900168170,06000US0900168170,"Shelton town, Fairfield County, Connecticut",15186,304,5092,289,10094,363
0900168310,06000US0900168310,"Sherman town, Fairfield County, Connecticut",1381,94,480,82,901,108
0900173070,06000US0900173070,"Stamford town, Fairfield County, Connecticut",46418,906,10865,531,35553,744
0900174190,06000US0900174190,"Stratford town, Fairfield County, Connecticut",20330,350,7008,375,13322,373
0900177200,06000US0900177200,"Trumbull town, Fairfield County, Connecticut",12205,282,4358,222,7847,268
0900183430,06000US0900183430,"Weston town, Fairfield County, Connecticut",3285,115,807,103,2478,126
0900183500,06000US0900183500,"Westport town, Fairfield County, Connecticut",9558,227,2784,177,6774,237
0900186370,06000US0900186370,"Wilton town, Fairfield County, Connecticut",5963,191,1513,169,4450,187
0900302060,06000US0900302060,"Avon town, Hartford County, Connecticut",7207,182,2072,155,5135,196
